Year,Series,øki,kyn,aldur,Units,Value
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.3
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,2.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.7
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,1.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,3.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,2.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,2.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,2.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.2
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,1.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.7
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,4.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,4.5
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.4
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,3.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.8
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,2.8
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,4.9
