Year,Series,region,sex,age,Units,GeoCode,Value
2013,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.9
2014,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,2.0
2015,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.9
2016,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.9
2017,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,2.9
2018,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,2.6
2019,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.7
2020,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.6
2021,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.1
2022,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.2
2023,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.5
2024,Proportion of population living below the national poverty line,,Females,Age 67 + ,pct.,TOTAL,1.6
2009,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.7
2010,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.8
2011,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,4.2
2012,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,4.5
2013,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.4
2014,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.3
2015,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.2
2016,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,3.1
2017,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.9
2018,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.8
2019,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.4
2020,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.1
2021,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.5
2022,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.4
2023,Proportion of population living below the national poverty line,,Males,,pct.,TOTAL,2.3
