Year,Series,øki,kyn,aldur,Units,GeoCode,Value
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,4.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,7.7
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,2.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,5.4
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,7.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,6.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,4.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,5.2
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,5.2
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,3.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 0 - 17,%,4500,7.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,4.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,0.0
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,2.9
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,7.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,3.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,5.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,6.7
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,6.5
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,5.3
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,9.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,3.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,3.9
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,2.2
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,4.1
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 18 - 24,%,4500,1.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,6.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,5.3
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,5.5
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,5.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,4.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,1.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,6.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,4.6
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,3.4
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,3.9
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,1.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,3.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,3.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,2.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 25 - 54,%,4500,3.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,11.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,5.1
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,10.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,9.3
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,8.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,11.1
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,8.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,7.3
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,5.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,2.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,3.4
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,5.3
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,7.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 55 - 66,%,4500,3.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,1.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,3.0
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,2.9
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.0
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,2.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,1.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.0
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,2.3
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.8
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,1.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,1.4
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Sandoyar øki,Menn,Aldur 67 + ,%,4500,0.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,4.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,3.3
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,4.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,5.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,4.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,3.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,3.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,3.2
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,3.4
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,2.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,1.8
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,2.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,,%,4300,2.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,6.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,6.6
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,8.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,7.0
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,6.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,4.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,4.2
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,4.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,2.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,3.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,4.0
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,2.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 0 - 17,%,4300,3.2
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,3.4
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,2.7
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,6.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,6.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,4.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,3.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,3.5
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,3.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,0.3
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.0
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.3
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 18 - 24,%,4300,1.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,3.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,4.5
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,3.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,3.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,3.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.6
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,1.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 25 - 54,%,4300,2.8
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,3.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.9
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,3.2
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,3.1
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,3.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,3.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.9
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,2.0
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,1.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 55 - 66,%,4300,1.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,4.4
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,3.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,2.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.6
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,2.7
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,2.2
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,0.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,0.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,0.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,0.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",,Aldur 67 + ,%,4300,1.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,4.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,3.4
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,4.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,5.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,4.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,4.2
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,3.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,3.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.2
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,,%,4300,2.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,7.9
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,6.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,7.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,7.5
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,6.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,5.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,4.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,4.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,2.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.2
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.8
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 0 - 17,%,4300,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum","Streymoyar øki, norður",Kvinnur,Aldur 18 - 24,%,4300,6.1
