Year,Series,diseases,sex,Units,Value
2018,SH_DTH_NCOM,J30-J98,M,NO,38.1141136562869
2019,SH_DTH_NCOM,J30-J98,M,NO,7.4774741092459
2020,SH_DTH_NCOM,J30-J98,M,NO,7.3494285819278
2021,SH_DTH_NCOM,J30-J98,M,NO,21.8882241354152
2009,SH_DTH_NCOM,J30-J98,F,NO,35.290484803035
2010,SH_DTH_NCOM,J30-J98,F,NO,8.7684685869613
2011,SH_DTH_NCOM,J30-J98,F,NO,8.7149766874374
2012,SH_DTH_NCOM,J30-J98,F,NO,0.0
2013,SH_DTH_NCOM,J30-J98,F,NO,43.2656946307273
2014,SH_DTH_NCOM,J30-J98,F,NO,17.3190162798753
2015,SH_DTH_NCOM,J30-J98,F,NO,25.8665287118469
2016,SH_DTH_NCOM,J30-J98,F,NO,8.5324232081911
2017,SH_DTH_NCOM,J30-J98,F,NO,16.8690958164642
2018,SH_DTH_NCOM,J30-J98,F,NO,8.3420229405631
2019,SH_DTH_NCOM,J30-J98,F,NO,16.4622602683348
2020,SH_DTH_NCOM,J30-J98,F,NO,24.3714204476218
2021,SH_DTH_NCOM,J30-J98,F,NO,8.0775444264944
